id,pt,en,es
text_teacher_generate_outputs_algorithm,"Antes de gerar as saídas, elabore um algoritmo!",Before generating the outputs you need to create an algorithm,Antes de generar las salidas necesita crear un algoritmo
text_code_for_from,de,from,from
text_code_for_to,ate,to,to
text_code_for_pass,passo,pass,pass
text_for_from,de,from,from
text_for_to,até,to,to
text_for_pass,passo,pass,pass
text_relational_expression,Relacionais,Relational,Relational
write_command_newline_on,Quebra de linha ativada, Line break is on,El salto de línea está activado
write_command_newline_off, Quebra de linha desativada, Line break is off,El salto de línea está desactivado
write_seprator_menu_text,Espaço,Spacer,Spacer
initial_program_code,programa {\n\n\t\tfuncao vazio inicio () {\n\t\t\t// Inicie seu codigo aqui!\n\t\t}\n},program {\n\n\t\tfunction void main () {\n\t\t\t// Start your code here!\n\t\t}\n},program {\n\n\t\tfunction void main () {\n\t\t\t// Start your code here!\n\t\t}\n}
type_char,caractere,char,char
charvar_default_value,A,A,A
write_seprator_menu_tooltip,Separador para imprimir mais valores/variáveis,Separator used to print more values/variables,Separator used to print more values/variables
